,alpha,g0,g1,g2,g3,iterations,genotype length
222,1.0,0.4132973316752181,0.3274874466295622,0.1359811109987144,0.12323411069650528,28,76
223,1.0,0.6409532979625528,0.1262524720781154,0.1344630872414622,0.09833114271786955,37,73
224,1.0,0.522945998108072,0.1851700724471983,0.1051535237033146,0.1867304057414151,37,86
225,1.0,0.15398027609456616,0.43968098667905264,0.2590508839634187,0.1472878532629626,38,87
226,1.0,0.17618130459913237,0.49481161972711785,0.14211160698747874,0.18689546868627105,39,124
227,1.0,0.11449208456411886,0.6372295389404329,0.045883193310262915,0.20239518318518546,40,105
228,1.0,0.0326852760445331,0.6663763748523863,0.11388913851948422,0.18704921058359636,33,90
229,1.0,0.14965670118893978,0.41679274221345475,0.11061220623574934,0.32293835036185614,30,79
230,1.0,0.06872788479554585,0.7030438614646203,0.11772710748205906,0.11050114625777488,32,53
231,1.0,0.1770919855097433,0.5734077717599487,0.1281015377906117,0.1213987049396963,27,81
232,1.0,0.1961699948138137,0.5313730439072926,0.04395417581831508,0.22850278546057856,32,89
233,1.0,0.13587841801019265,0.6816165710557562,0.1023576417361116,0.08014736919793951,41,92
234,1.0,0.29077099395824824,0.47925356068248415,0.1461566695418144,0.08381877581745327,30,90
235,1.0,0.187175626596979,0.6043931913691662,0.0430803542566716,0.16535082777718313,28,77
236,1.0,0.1770870265736475,0.4305913305108172,0.21262229357188273,0.1796993493436525,33,98
237,1.0,0.25303743169280024,0.34592266433579066,0.25263332087790175,0.1484065830935073,26,99
238,1.0,0.09108976415808367,0.5574017462062285,0.31478257060266573,0.036725919033022095,31,78
239,1.0,0.14528932604913786,0.5361538352918724,0.2622854269709215,0.056271411688068235,32,89
240,1.0,0.04689960104835464,0.6211022438259634,0.23996385208923302,0.09203430303644915,40,88
241,1.0,0.12619203239509708,0.4691514139809147,0.1683073208661656,0.23634923275782263,42,76
242,1.0,0.07868909438985972,0.6270124401942461,0.1677834776733802,0.12651498774251407,28,61
243,1.0,0.1670902960734994,0.5907168969186634,0.07214822609143605,0.17004458091640123,37,82
244,1.0,0.13553538613518804,0.6042572186979996,0.11680264015393352,0.14340475501287872,31,81
245,1.0,0.1189108880744485,0.5461892650709738,0.1944559027911508,0.14044394406342678,35,91
246,1.0,0.34809008190224194,0.5383962651495022,0.07797806841117429,0.035535584537081506,33,95
247,1.0,0.11481394121907479,0.5496696725227165,0.20001691223375206,0.1354994740244567,45,95
248,1.0,0.16813732629316241,0.45670370341130084,0.19698175747313182,0.17817721282240492,39,108
249,1.0,0.2838578211407681,0.33051236139386203,0.15427511666314714,0.23135470080222267,32,121
250,1.0,0.05606289067486135,0.06855918760655201,0.5668885508946189,0.30848937082396777,33,75
251,1.0,0.12097720154172453,0.15241158105928318,0.5516368736321278,0.17497434376686447,33,102
252,1.0,0.3199886043425151,0.05119405188071551,0.5712618347984125,0.057555508978356776,30,59
253,1.0,0.09958156983320142,0.13759788315602164,0.5123617521084113,0.2504587949023657,35,87
254,1.0,0.08731107452356275,0.09400422590590962,0.7068267023813092,0.1118579971892185,29,66
255,1.0,0.22420006698494901,0.12025009732721341,0.4948879758649405,0.16066185982289705,36,114
256,1.0,0.03659545912456335,0.27865356314499834,0.48980146783207484,0.1949495098983635,30,73
257,1.0,0.2335939253554657,0.06702175940054232,0.5230685549653837,0.1763157602786081,43,88
258,1.0,0.08966464579553748,0.03026156562011461,0.7869514009227923,0.09312238766155562,27,71
259,1.0,0.05672196845647747,0.29175729973385656,0.4972626529450663,0.1542580788645995,40,80
260,1.0,0.09314571046272202,0.19103040815594174,0.4059622645542776,0.3098616168270586,38,98
261,1.0,0.04008050270524672,0.3652593158194221,0.26786846540410847,0.3267917160712227,30,74
262,1.0,0.3821972017599601,0.0382833886737862,0.530461624635806,0.049057784930447754,33,61
263,1.0,0.2182746296583986,0.23096082593601777,0.39235360240008615,0.15841094200549746,27,92
264,1.0,0.06949887952264636,0.15281359559265564,0.5494211113485249,0.22826641353617316,35,89
265,1.0,0.15350378740486345,0.14301579089421557,0.41604135401631603,0.28743906768460503,30,78
266,1.0,0.2772302036388212,0.08223767053632038,0.5016236976616492,0.1389084281632092,38,83
267,1.0,0.22911973270309732,0.1803584882386268,0.45093737589939026,0.1395844031588857,28,64
268,1.0,0.18275960192228205,0.046872135112279195,0.6462687598513129,0.12409950311412574,37,77
269,1.0,0.12829875070527436,0.09246964979806772,0.5516083402796924,0.22762325921696544,34,97
270,1.0,0.07247989524118742,0.2801881977476032,0.44399763006440196,0.20333427694680747,42,110
271,1.0,0.09033945841294756,0.3127403661489832,0.5560060271792993,0.04091414825876993,39,73
272,1.0,0.09046889511314851,0.04992470234389352,0.522798299428248,0.33680810311470993,35,75
